b1,1CC rate,2CC rate,Game 1 rate,C rate,CoopSPE rate,strat,strat_space,transition
2.54,0.931711671,0.006022359,0.959363553,0.947926954,0.924943,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default
2.68,0.934152843,0.00727421,0.962453273,0.95156132,0.888767,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default
2.82,0.937533118,0.008810123,0.964723625,0.956474992,0.828318,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default
2.96,0.932113228,0.008920007,0.959825427,0.951313188,0.884021,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default
3.1,0.935807796,0.007752602,0.961240456,0.953791235,0.898474,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default
1,0.008921337,0.016867339,0.498041043,0.05365481,0,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default
1.14,0.017034541,0.016893438,0.571765375,0.061772324,0,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default
1.28,0.021606845,0.015799806,0.634066419,0.064576295,0,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default
1.42,0.026811831,0.016732087,0.644320586,0.071933892,0,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default
1.56,0.035308562,0.016730697,0.65313948,0.082089178,0,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default
1.7,0.195513479,0.021016772,0.7139813,0.24446858,0.156594,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default
1.84,0.646235624,0.031037375,0.847449949,0.694542409,0.661118,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default
1.98,0.722559921,0.032519765,0.88004687,0.770102589,0.738516,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default
2.12,0.693874521,0.03026815,0.879203498,0.740653726,0.704489,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default
2.26,0.884685697,0.013549393,0.939945904,0.909729028,0.904078,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default
2.4,0.93087258,0.004460433,0.959287985,0.945649281,0.924016,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default
2.54,0.931711671,0.006022359,0.959363553,0.947926954,0.924943,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default
2.68,0.934152843,0.00727421,0.962453273,0.95156132,0.888767,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default
2.82,0.937533118,0.008810123,0.964723625,0.956474992,0.828318,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default
2.96,0.932113228,0.008920007,0.959825427,0.951313188,0.884021,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default
3.1,0.935807796,0.007752602,0.961240456,0.953791235,0.898474,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default
1,0.008921337,0.016867339,0.498041043,0.05365481,0,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default
1.14,0.017034541,0.016893438,0.571765375,0.061772324,0,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default
1.28,0.021606845,0.015799806,0.634066419,0.064576295,0,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default
1.42,0.026811831,0.016732087,0.644320586,0.071933892,0,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default
1.56,0.035308562,0.016730697,0.65313948,0.082089178,0,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default
1.7,0.195513479,0.021016772,0.7139813,0.24446858,0.156594,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default
1.84,0.646235624,0.031037375,0.847449949,0.694542409,0.661118,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default
1.98,0.722559921,0.032519765,0.88004687,0.770102589,0.738516,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default
2.12,0.693874521,0.03026815,0.879203498,0.740653726,0.704489,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default
2.26,0.884685697,0.013549393,0.939945904,0.909729028,0.904078,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default
2.4,0.93087258,0.004460433,0.959287985,0.945649281,0.924016,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default
2.54,0.931711671,0.006022359,0.959363553,0.947926954,0.924943,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default
2.68,0.934152843,0.00727421,0.962453273,0.95156132,0.888767,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default
2.82,0.937533118,0.008810123,0.964723625,0.956474992,0.828318,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default
2.96,0.932113228,0.008920007,0.959825427,0.951313188,0.884021,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default
3.1,0.935807796,0.007752602,0.961240456,0.953791235,0.898474,S_12_EqualSay_G2_Default,S_12,EqualSay_G2_Default
1,0.00909011,0.015144999,0.419823357,0.049084329,0,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.14,0.016235987,0.017490004,0.484251711,0.061347476,0,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.28,0.020974281,0.018096477,0.502632932,0.065955586,0,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.42,0.028015379,0.019493538,0.532986442,0.075449223,0,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.56,0.032512123,0.018571848,0.580762978,0.078707991,0,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.7,0.148128569,0.020516413,0.613665292,0.195479015,0.035869,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.84,0.661997272,0.032463034,0.833003124,0.710475193,0.517262,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
1.98,0.6482193,0.031816297,0.836168067,0.696036256,0.378702,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.12,0.663466929,0.029716826,0.845610214,0.709892206,0.413611,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.26,0.886043122,0.008924642,0.941788072,0.905936994,0.625393,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.4,0.932465331,0.007161277,0.961682717,0.949825103,0.665322,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
2.54,0.937686779,0.001570549,0.962882817,0.94926863,0.506221,S_16_EqualSay_G2_Default,S_16,EqualSay_G2_Default
